part_number	type	description	quantity_in_stock	cost	retail_price
GRMZM0000045	widget	"Aliquam quis nisi tortor. Maecenas orci diam, consequat ac eleifend vel, ullamcorper vitae est. Ut ultricies turpis non tortor accumsan gravida. Aliquam erat volutpat. Nulla imperdiet tempus nisi non mattis. Quisque quis elementum erat. Pellentesque tempus eu turpis id dapibus. Quisque sit amet laoreet risus, a scelerisque elit. Aenean elit enim, suscipit quis metus at, viverra gravida orci. Morbi semper elit ipsum, nec molestie risus eleifend a. Proin consectetur lobortis odio et venenatis. Aliquam tincidunt lobortis ipsum vel varius. Phasellus condimentum urna ipsum, at malesuada lorem pretium vitae. Morbi id congue nulla. Curabitur dapibus faucibus erat, id mollis urna dignissim sed. Cras egestas suscipit adipiscing."	5880	$0.71	$0.99
GRMZM0000046	widget	"Fusce libero arcu, consequat vitae nunc at, auctor imperdiet libero. Aenean vitae metus sit amet nibh pulvinar laoreet. Morbi semper ullamcorper nulla vehicula vulputate. Nulla neque purus, facilisis non pulvinar sed, pharetra in enim. Nullam molestie, nunc id iaculis fringilla, turpis lacus lacinia urna, id rhoncus eros elit at arcu. Proin malesuada ultricies porttitor. Phasellus aliquet est vitae ipsum adipiscing hendrerit. Vivamus sit amet iaculis dui. Nam orci elit, auctor eu lacus ac, luctus vulputate tellus. Maecenas malesuada ultrices ante, lobortis fermentum lectus gravida vel. Ut fringilla gravida magna, tincidunt consequat quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Ut venenatis erat ut eros pulvinar, vitae elementum nulla mattis. Fusce ornare magna vel urna consectetur facilisis. Aenean vestibulum metus at massa dignissim, nec consequat libero vestibulum. Sed volutpat lacinia arcu, quis adipiscing nulla tempus at."	7937	$0.07	$0.10
GRMZM0000047	thingamajig	"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas porta, neque id auctor commodo, lacus felis aliquet erat, et interdum purus ante vel justo. Donec suscipit diam sit amet elit semper, at semper dolor tincidunt. Nulla sed diam congue, eleifend nisl a, condimentum ligula. Phasellus et dui nec orci rhoncus semper vel vel metus. Phasellus cursus mauris id urna rutrum, at porta diam rhoncus. Phasellus at accumsan felis. Sed blandit purus ultricies elementum molestie."	6388	$0.28	$0.40
GRMZM0000048	thingamajig	"Sed tempor egestas odio, ut sagittis ligula pharetra at. In hac habitasse platea dictumst. Quisque faucibus imperdiet nibh quis interdum. Vestibulum at neque in sapien vehicula volutpat. Donec posuere, risus euismod posuere euismod, purus metus mattis nunc, vitae blandit diam turpis sed mi. Quisque libero lorem, rutrum sed aliquet quis, adipiscing lobortis ipsum. Etiam dignissim massa ut nisl mattis, et vulputate mi convallis. Vivamus vestibulum odio vitae mauris eleifend aliquet."	8985	$0.35	$0.48
GRMZM0000049	widget	"Vivamus hendrerit eget eros nec lacinia. Integer sed consectetur lectus. Sed quis semper magna, ut convallis mauris. Donec tempus pharetra massa at tincidunt. Fusce a sapien sagittis, ultrices metus ac, mollis elit. Curabitur commodo nisl id urna luctus sodales. In lacinia pellentesque risus, at aliquet justo laoreet viverra."	5217	$0.28	$0.40
GRMZM0000050	widget	"Donec blandit mi id aliquam eleifend. Donec tempor egestas nisl eget eleifend. Proin quis viverra mauris. Ut viverra nunc at nunc pharetra, sed pharetra dolor varius. Pellentesque facilisis magna urna, et ullamcorper tellus rhoncus id. Curabitur tempus purus vitae nisl ultrices, et posuere est lobortis. Nullam pellentesque dui quis lacus cursus, at tincidunt purus euismod. Maecenas at tortor non mauris consequat cursus eu ut leo. In id arcu mi. Quisque sed lobortis metus. Vivamus sodales ligula felis, a ullamcorper sem ullamcorper et. Morbi eget elementum ligula. Nam id lectus euismod, fringilla arcu nec, cursus eros. Curabitur et mi varius, ultricies orci at, fermentum arcu. Vivamus ac velit quis eros commodo faucibus. Proin posuere lacus lacus, ac interdum odio sodales eget."	6400	$0.06	$0.09
GRMZM0000051	doodad	"Cras erat lectus, tristique vitae commodo et, cursus nec urna. Sed tincidunt, tellus vel convallis commodo, ipsum neque convallis nulla, at luctus augue risus eu elit. Ut consectetur justo orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Nunc facilisis nulla sed accumsan egestas. In eget laoreet mauris, in dapibus enim. Phasellus eget neque eget nulla adipiscing pulvinar eu sit amet sapien. Aliquam euismod fringilla urna et pulvinar. Nullam velit enim, interdum non scelerisque in, vestibulum eu ligula. Vivamus tincidunt rhoncus sem, quis commodo nulla pharetra malesuada. Nullam vitae lorem sapien. In ullamcorper felis vel mi pulvinar malesuada."	4956	$0.49	$0.69
GRMZM0000052	thingamajig	"Sed vulputate felis a velit convallis malesuada. Praesent bibendum sollicitudin facilisis. Sed convallis nibh mattis nulla pretium, non interdum odio iaculis. Donec nisl urna, sagittis vitae semper in, semper sagittis quam. Nulla cursus est et dolor mattis malesuada. Phasellus cursus sem eget hendrerit tincidunt. Pellentesque placerat convallis metus pharetra elementum. Suspendisse dolor leo, rutrum nec leo sit amet, porta vulputate lorem. Quisque blandit faucibus odio, ac ultrices mi vehicula vel. Sed eget sapien imperdiet, fermentum purus sit amet, blandit leo. Vivamus feugiat feugiat felis sed pharetra. Pellentesque sed adipiscing purus. Donec pellentesque mollis venenatis."	6139	$0.72	$1.01
GRMZM0000053	doodad	"Fusce nulla ante, laoreet sed nisl ut, mollis iaculis augue. Quisque lacus dui, vestibulum sed sollicitudin in, auctor in ante. In libero erat, pellentesque quis sollicitudin lacinia, ultrices ut nulla. Quisque sit amet lacus ac arcu mattis feugiat. Aliquam id rutrum massa. Fusce congue ante metus, eget tincidunt elit lobortis in. Fusce id nunc tortor. Suspendisse eleifend ultricies risus vel bibendum. Cras at tellus lacus. Maecenas consequat viverra euismod. Proin eu quam sit amet dolor gravida mollis quis non metus. Praesent at lectus eget dui viverra ornare. Nullam sed varius metus. Donec sagittis egestas diam et mattis. Aliquam et augue ut magna commodo cursus."	4257	$0.25	$0.35
GRMZM0000054	widget	"Praesent in viverra ante, a venenatis neque. Mauris cursus dui sapien, vel semper arcu cursus non. In aliquam massa vel ligula faucibus, nec porta lorem fringilla. Vestibulum imperdiet auctor scelerisque. Cras id mattis turpis, eget tincidunt libero. Mauris consequat sit amet purus quis aliquam. Etiam massa enim, hendrerit id lectus nec, congue gravida mi. Proin tellus augue, ornare eget porttitor ut, malesuada sit amet dolor. Lorem ipsum dolor sit amet, consectetur adipiscing elit. In hac habitasse platea dictumst. Duis in auctor nulla. Aliquam sollicitudin magna nec sapien dictum blandit. Praesent id ligula imperdiet, mattis metus eu, fringilla urna."	708	$0.24	$0.33
GRMZM0000055	doodad	"Ut pellentesque enim et tristique condimentum. In euismod velit sed pellentesque porttitor. Vestibulum vel lacinia ipsum. Duis ornare nec urna pharetra hendrerit. In ac metus sit amet lacus euismod pulvinar. Sed posuere auctor nisl, vel viverra odio. Sed at quam ante. Sed dignissim lobortis est, eget posuere augue rutrum sed. Pellentesque id egestas dui. Donec rhoncus est in erat fringilla, sed ultrices ipsum rhoncus. Sed vehicula erat sit amet mi sodales fringilla. Donec sit amet dui sed massa fermentum viverra. Nulla auctor sapien sed augue mollis, non fermentum nulla pharetra. Nulla molestie elit vel dapibus feugiat. In lobortis, augue ac vulputate ornare, ipsum risus bibendum turpis, at rutrum nulla elit vitae velit. Aenean in ligula faucibus, accumsan massa sed, ornare tellus."	2836	$0.12	$0.17
GRMZM0000056	widget	"Maecenas eleifend arcu nec molestie facilisis. Suspendisse ullamcorper blandit turpis, id imperdiet erat pharetra ut. Integer sagittis pellentesque sem id lobortis. Cras dignissim purus ut justo interdum, id ornare erat ultrices. Cras eget odio ac purus ultricies auctor eu ac libero. Phasellus ullamcorper sapien sed varius sodales. Ut accumsan porttitor ultricies. Maecenas vestibulum est posuere nibh consequat bibendum. Vivamus mattis posuere ipsum, eu porttitor augue molestie non. Proin euismod nisl ultricies leo fermentum porta. Mauris nec blandit lacus. Nulla ac nunc metus."	8172	$0.69	$0.96
GRMZM0000057	thingamajig	"Nunc diam justo, gravida non lacinia porta, viverra eget augue. Sed dictum aliquet dui eget semper. Curabitur a suscipit leo. Vivamus ullamcorper venenatis justo, ut placerat tellus vehicula vel. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Donec aliquam molestie tortor a fermentum. Nulla luctus eros ac nulla semper, vel semper turpis rhoncus."	1125	$0.02	$0.03
GRMZM0000058	thingamajig	"Nam ut ultricies lectus, vel lobortis magna. Cras tempor, risus tristique venenatis egestas, neque dolor porttitor diam, tristique tempor est orci sed nibh. Nullam eu nisl in mi viverra venenatis eu eget felis. Nulla eu auctor elit. Sed tempor ut neque nec hendrerit. Proin a venenatis augue, ut commodo turpis. Aenean non porta tortor. Donec tellus massa, adipiscing at aliquam et, eleifend at urna. Cras sapien lacus, laoreet in molestie id, pulvinar sit amet leo. Etiam tristique ac dui et feugiat. In ut nisi et ligula consectetur consectetur ut ac quam."	2305	$0.69	$0.97
GRMZM0000059	thingamajig	"Aenean a turpis nibh. Quisque porta aliquam magna sed tristique. Mauris vel bibendum tellus. Vestibulum sit amet lorem egestas, consectetur ipsum eget, hendrerit purus. Donec interdum dictum felis, suscipit suscipit ante lacinia sit amet. Quisque luctus, sem at elementum bibendum, magna magna porta nisl, a dignissim mi metus in neque. Cras nisl leo, pulvinar sed faucibus interdum, bibendum id sem. Donec nec commodo massa. Morbi ullamcorper iaculis purus dapibus hendrerit. Pellentesque ornare, dui quis vestibulum faucibus, purus turpis molestie ante, vitae congue ipsum nulla at tortor."	6141	$0.89	$1.25
GRMZM0000060	doodad	"Curabitur vel congue eros. Sed mollis ligula quis porttitor volutpat. Sed tincidunt sapien ac sodales accumsan. Ut rutrum velit non tortor rhoncus, et adipiscing erat varius. Donec id dignissim neque. Maecenas ornare nisl eu erat tristique blandit. Quisque eget orci dui. Suspendisse in leo at lacus ullamcorper auctor. Mauris mollis libero vitae imperdiet iaculis. Donec sit amet urna ac metus volutpat sagittis. Donec a velit leo. Fusce pretium ultrices dui, vitae imperdiet felis interdum eu. Integer at tellus purus. Aliquam dui lorem, fermentum sed lacus ut, vehicula consequat sapien. Duis lacinia quis eros id laoreet."	4995	$0.67	$0.94
GRMZM0000061	widget	"Nullam enim quam, porttitor a lectus quis, pellentesque varius turpis. Proin tincidunt dui a enim posuere congue. Praesent eget neque vitae nibh faucibus vehicula. Morbi non laoreet mi. Quisque lectus lectus, vestibulum a nunc a, scelerisque dignissim augue. Praesent porttitor dignissim congue. Sed id augue metus. Duis nec laoreet nibh, ac bibendum est. Proin at purus congue, mattis massa nec, semper tellus. Vivamus et arcu blandit, pulvinar ante dapibus, dapibus sem. Curabitur dignissim eu lacus sed dignissim. Etiam auctor libero eu nibh scelerisque, at viverra nibh cursus."	6166	$0.48	$0.67
GRMZM0000062	thingamajig	"Integer semper metus a sapien gravida ullamcorper. Nullam sapien ante, cursus vel arcu vitae, gravida accumsan ligula. Integer viverra urna sit amet dolor tristique, at sagittis lacus vehicula. Nulla vehicula tempus est eu interdum. Curabitur at porta tortor. Nullam nec feugiat velit. Nam non tincidunt sem, id posuere lorem. Phasellus sagittis ultricies urna, in gravida erat euismod vel. Duis ac felis sollicitudin, dignissim felis non, laoreet nibh. Sed a pulvinar felis. Ut mattis tempor scelerisque. Maecenas posuere tincidunt dolor. Morbi bibendum metus elementum lectus volutpat, eget tincidunt lectus iaculis. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."	3520	$0.93	$1.30
GRMZM0000063	widget	"Nullam tempor volutpat purus, sit amet accumsan sapien consequat sit amet. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Proin urna justo, congue id tortor non, ultricies tristique justo. Nunc semper metus sollicitudin lorem lobortis, sed auctor diam venenatis. Sed eget erat elit. Nam laoreet, enim bibendum lobortis faucibus, mauris lectus mattis eros, id consequat purus mauris non odio. Maecenas vitae ultrices nulla. In hac habitasse platea dictumst. Suspendisse rhoncus elit et sem elementum, vel pellentesque mi volutpat. Donec tortor tellus, luctus sed sodales non, facilisis a dolor. Suspendisse ac risus eu massa volutpat ultrices. Nulla facilisi. Nullam ut purus justo. Aliquam vitae eros nec velit posuere lobortis vitae nec odio. Donec vel nulla sed turpis pretium volutpat vitae sed diam. Nam varius viverra ligula in faucibus."	8615	$0.98	$1.38
GRMZM0000064	widget	"Nulla in dignissim enim. Praesent a tincidunt ligula, sed ornare felis. Donec tincidunt neque non leo sollicitudin hendrerit. Donec ac metus nec lacus ornare posuere non sit amet erat. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec nec pulvinar nisl, at consectetur orci. Nulla iaculis neque vel urna rhoncus dignissim. Phasellus tempus ultricies nibh, vitae sollicitudin ipsum accumsan eget. Phasellus pulvinar lorem vel laoreet porttitor. Integer id ante consectetur, molestie felis quis, tempus justo. Sed eleifend, lorem id tristique ultricies, ante nisl fermentum orci, a tincidunt ipsum nulla a nisl. Nulla eu ipsum vulputate, malesuada purus ut, volutpat felis. Nunc dictum luctus lacinia. Suspendisse varius vehicula odio, eget ornare urna."	2519	$0.63	$0.89
GRMZM0000065	widget	"Nam aliquet ac augue ut malesuada. Nulla facilisi. Aenean sodales metus sed sagittis malesuada. Quisque tristique in turpis sed vestibulum. Nullam ipsum tortor, hendrerit a placerat a, laoreet ut velit. Aenean pretium eros sit amet commodo molestie. Pellentesque iaculis diam pulvinar mi dictum accumsan. Duis in leo adipiscing ipsum tincidunt sollicitudin in fringilla nisi. Aliquam erat volutpat. Nullam at posuere nunc, non aliquam sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Suspendisse nulla velit, fermentum semper dignissim eget, vulputate et tortor."	5958	$0.27	$0.38
GRMZM0000066	thingamajig	"Aenean vitae bibendum nulla, sed ullamcorper enim. Curabitur gravida justo vitae leo dictum, ac pulvinar lacus euismod. Duis elementum auctor tortor, ut malesuada tortor vehicula vitae. Suspendisse fringilla ipsum quis orci tempor, in malesuada ligula varius. Phasellus vel elit nunc. Integer non posuere sapien. Interdum et malesuada fames ac ante ipsum primis in faucibus. Sed tincidunt lacinia quam, laoreet pulvinar magna. Duis eu pretium felis, quis congue sem. Nam adipiscing magna eget dui sodales egestas."	8883	$0.14	$0.19
GRMZM0000067	widget	"Curabitur ipsum massa, bibendum eget molestie id, ultricies et nisl. Integer vitae metus blandit, semper erat sit amet, scelerisque velit. Integer pharetra vestibulum mi, hendrerit hendrerit lacus ornare ut. Nullam aliquet eleifend fringilla. Duis suscipit sem nulla, ac interdum est consequat vel. Duis in vulputate metus. Sed mauris felis, rhoncus vitae ligula ac, pulvinar aliquet magna. Nunc commodo nec lectus vitae lobortis."	7845	$0.51	$0.72
GRMZM0000068	widget	"Aliquam elit tortor, condimentum sit amet lacinia eu, rutrum quis orci. Suspendisse condimentum elit augue, eu tristique eros adipiscing eu. Vestibulum id libero in purus vulputate viverra. Nam pharetra vel ligula non suscipit. In feugiat cursus dolor vel egestas. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Mauris eu hendrerit nisi. Fusce ullamcorper mauris eu mauris tincidunt, a tempus diam aliquam. Vivamus nec lacus dapibus, laoreet sapien ac, gravida purus. Sed a sollicitudin velit, vitae gravida massa. Curabitur molestie ultrices nisi, consequat feugiat ipsum. Sed porttitor sapien tempus, mattis nunc pharetra, suscipit metus. Nulla facilisi. Aenean nec rutrum sem. Pellentesque commodo lorem ut felis iaculis, id varius massa fermentum."	818	$0.56	$0.78
GRMZM0000069	thingamajig	"Nulla in malesuada sapien. Nulla at ipsum vel arcu bibendum semper. Morbi sed eros id mi bibendum vestibulum. Phasellus sit amet egestas risus, sed porttitor ipsum. Phasellus non arcu in lorem cursus suscipit at nec ipsum. Ut sagittis egestas magna lobortis vestibulum. Sed vitae sodales enim. Aliquam eget fermentum enim. Quisque rhoncus libero sit amet dolor aliquet faucibus. Aenean porta euismod erat placerat varius. Pellentesque gravida ipsum ac ipsum ultricies auctor. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Quisque at consequat metus. Ut non tristique odio, imperdiet molestie nibh. Nulla venenatis nunc id diam euismod auctor. Phasellus eget adipiscing tellus."	2634	$0.81	$1.13
GRMZM0000070	doodad	"Praesent volutpat urna lorem, et fringilla sem pharetra non. Nullam vehicula lacinia ullamcorper. Sed vel dui vehicula, congue mauris id, sagittis nisi. Morbi molestie lobortis velit vitae faucibus. Donec blandit aliquam risus auctor molestie. Nulla ornare dictum tellus, ut volutpat risus volutpat nec. Nulla blandit sapien ipsum, ac tempor magna imperdiet ut. Mauris tempus pharetra urna in molestie. Phasellus sed neque eu libero mollis interdum. Integer nec tellus nec massa ornare convallis. Nam consectetur, quam quis eleifend consequat, mi mi tempus lorem, in pellentesque mi quam cursus nisl."	2494	$0.66	$0.92
GRMZM0000071	widget	"Aenean nisi mi, sagittis vel justo ac, dignissim ornare mauris. Nulla eget elit at lorem blandit dignissim. Etiam aliquam nibh quis porttitor auctor. Vestibulum convallis risus eu adipiscing dignissim. Donec sodales est ac dui varius luctus. Nunc malesuada, nulla vitae luctus semper, arcu elit scelerisque massa, vel commodo felis magna sed libero. Etiam in condimentum nisl. Nunc egestas, nulla et molestie facilisis, enim magna ultrices lectus, quis pulvinar justo libero nec diam. Donec pharetra ornare diam, fermentum molestie felis. Donec eget urna risus. Cras at velit non quam ultricies condimentum ut et purus. Donec ac semper metus, adipiscing euismod arcu. Donec aliquam sit amet justo faucibus sagittis. Fusce pulvinar velit tempor nibh ultrices tempus."	1118	$0.23	$0.32
GRMZM0000072	doodad	"Integer pharetra sapien odio, vel condimentum massa molestie vitae. Mauris in leo non arcu faucibus ornare nec nec elit. Mauris ac euismod ipsum, a mollis lectus. Aliquam erat volutpat. Phasellus adipiscing, dolor at laoreet iaculis, magna lacus placerat velit, ut ullamcorper lorem ipsum ut metus. Nunc vitae ipsum ut eros porttitor lacinia. Quisque blandit tempus euismod. Integer sed felis vestibulum, fringilla ligula aliquam, condimentum erat. Pellentesque bibendum ultricies elit. Phasellus sodales nisl eget rutrum porta. Curabitur et justo ac odio imperdiet pharetra."	7024	$0.30	$0.42
GRMZM0000073	widget	"Phasellus sit amet neque diam. Nullam gravida accumsan velit. Phasellus pellentesque mi vitae lectus tempus, at interdum mauris sollicitudin. Integer id tellus at est ornare faucibus. Phasellus vestibulum turpis eget libero semper aliquet. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut in purus quis nulla posuere rutrum. Pellentesque neque nisi, volutpat in commodo at, lobortis nec velit. Curabitur dui nunc, tempor ac pretium vel, dignissim eu mauris. Ut pulvinar vestibulum magna ut luctus. Proin et accumsan mi. Nulla vitae laoreet justo. Sed tristique sapien ipsum, quis luctus risus consequat nec. Integer placerat lorem vel justo aliquam, id fermentum sapien viverra."	8232	$0.10	$0.14
GRMZM0000074	doodad	"Proin et sapien hendrerit, eleifend augue et, facilisis leo. Donec consectetur porta lacus. Nam nec pharetra lorem. Integer id volutpat velit, vitae tempus enim. Proin ornare feugiat malesuada. Proin lacinia felis a lorem aliquam molestie. Vivamus malesuada tortor nibh, vel rhoncus elit porta quis. Mauris iaculis sed lorem vitae luctus. Nam ultricies eros ac odio rutrum hendrerit. Cras et metus volutpat, dignissim dolor sed, fermentum purus. Aliquam et urna nibh. Curabitur vitae nulla dignissim, sodales sapien et, bibendum nulla. Duis vehicula aliquet dignissim. Fusce sollicitudin arcu eget dui luctus, id malesuada mauris adipiscing. Donec non ipsum dignissim orci tempor aliquet vitae quis lacus."	9697	$0.23	$0.33
GRMZM0000075	widget	"Aenean luctus adipiscing odio, eget feugiat odio euismod quis. Suspendisse eu dui venenatis, suscipit arcu et, luctus ligula. Duis convallis facilisis purus eget condimentum. Praesent ac suscipit massa. Quisque consequat accumsan turpis, a lobortis neque lobortis ac. Praesent nec pellentesque odio. Mauris malesuada mi odio. Proin imperdiet quis massa sit amet luctus. Vivamus volutpat, nulla non viverra fringilla, mi nisi malesuada ipsum, sed tincidunt purus nunc in turpis. In aliquam enim ac odio pharetra auctor. Nulla in mi tortor. Nunc vel quam non lacus condimentum interdum. Duis ornare, sapien ut porta molestie, ipsum quam volutpat leo, sed pulvinar urna quam nec augue. Maecenas in viverra leo, sed aliquam tortor. Sed id placerat justo, sit amet blandit tellus."	6571	$0.51	$0.71
GRMZM0000076	doodad	"Donec laoreet rutrum mi, et sollicitudin sem varius id. Nam non fermentum massa. Phasellus dictum et lorem ac semper. Pellentesque lacinia pretium ultrices. Maecenas et velit eget justo aliquam iaculis vel a arcu. Donec vestibulum, felis sit amet fringilla faucibus, sem diam consequat tellus, sit amet luctus elit leo at nibh. Aliquam adipiscing non ante ut adipiscing. Nam porttitor enim quis libero venenatis facilisis."	4868	$0.35	$0.49
GRMZM0000077	doodad	"Pellentesque eu eros mollis, blandit dolor et, viverra mi. Maecenas quis dictum augue. Aliquam mattis ultricies vehicula. Nunc vel semper tortor. Sed iaculis sem eu est pellentesque, id vestibulum magna commodo. Donec vulputate et sapien sagittis rhoncus. Sed a est porttitor, pellentesque metus in, tempus lorem. Curabitur quam sem, volutpat eget risus eu, bibendum placerat enim. Nulla consectetur nibh a ultricies fermentum. Praesent lacinia, metus ac facilisis vehicula, ligula lacus sollicitudin lectus, ac iaculis felis turpis sit amet nunc."	7405	$0.36	$0.50
GRMZM0000078	widget	"Fusce at nulla at erat convallis dictum ut sed sapien. Phasellus id orci condimentum, pellentesque quam in, placerat lorem. Sed eget tincidunt metus. Vestibulum massa turpis, elementum semper malesuada sed, consequat ac dolor. Etiam pulvinar commodo nunc, nec vulputate urna dignissim a. Sed arcu mi, tristique sed vestibulum sed, pharetra quis massa. Curabitur eget molestie leo. Nunc pretium nulla eu pretium ornare."	5399	$0.83	$1.17
GRMZM0000079	doodad	"Cras rhoncus egestas tortor ut vestibulum. Integer in dolor condimentum, laoreet mi sit amet, auctor nulla. Sed at commodo sapien. Ut rutrum sapien sit amet sapien iaculis sollicitudin. Sed interdum varius eros, eu cursus orci interdum et. Quisque semper nulla at condimentum euismod. Mauris iaculis erat quis auctor aliquam. Morbi molestie enim vitae risus consequat elementum. Aliquam erat volutpat. Nam rhoncus magna arcu, quis venenatis neque iaculis vitae. Donec bibendum, dolor in faucibus consectetur, lorem purus luctus ligula, ut elementum augue massa ut elit."	7353	$0.90	$1.26
GRMZM0000080	doodad	"Aenean eu pellentesque diam. Maecenas fermentum tortor justo, pharetra venenatis felis porttitor non. Etiam in sapien porttitor, rutrum sapien ac, interdum risus. Etiam semper leo id eleifend ultricies. Sed non nibh at nunc mattis suscipit. Sed in tempor tellus, non mattis ipsum. Duis vel erat quis metus viverra fermentum in at elit. Praesent augue est, pretium in dolor eu, malesuada volutpat lacus. Phasellus sit amet blandit quam. Proin quis semper dolor."	1854	$0.88	$1.23
GRMZM0000081	widget	"Nulla vel mi cursus, ultrices odio ut, tempus sapien. Sed dictum turpis vitae eros ultricies, non pretium lectus auctor. Quisque vel fermentum lorem. Vivamus elementum et odio nec pulvinar. Donec vulputate mi eget tempor malesuada. Fusce a eros in lorem venenatis imperdiet. Cras placerat metus a ligula congue iaculis. Curabitur sed mauris vitae magna tempor adipiscing vel nec quam. Nunc et fermentum justo, in aliquam dolor. Nulla lacinia elementum felis, et ornare felis placerat sed. Duis ac dapibus mauris."	4590	$0.44	$0.61
GRMZM0000082	widget	"Cras id massa feugiat, tincidunt lectus eget, laoreet augue. Mauris at tortor a quam molestie dictum. Donec ac dui cursus, placerat diam hendrerit, pharetra lectus. Curabitur imperdiet consectetur sodales. Fusce ullamcorper arcu ut ligula sollicitudin vehicula. Phasellus diam enim, molestie malesuada sapien at, rhoncus adipiscing velit. Integer euismod sapien justo, non molestie erat feugiat in. Praesent semper non dolor vitae imperdiet. Nulla feugiat, justo quis posuere porta, erat tellus feugiat nunc, ut pretium ligula justo at mi. Duis feugiat libero nec nisi malesuada pharetra. Proin tempus felis non felis commodo, vel pretium ligula pharetra. Duis faucibus mi non volutpat consequat. Fusce porttitor eu odio nec rhoncus. Pellentesque imperdiet, nisi non ultricies vulputate, mauris purus ultricies orci, ac tempor leo ante at purus. Nulla a ornare eros, id auctor enim. Donec dolor tortor, fringilla at pharetra eu, consectetur a libero."	4946	$0.77	$1.08
GRMZM0000083	thingamajig	"Curabitur volutpat eget magna ut vestibulum. Nulla at mi in ante porttitor fringilla. Ut ultrices erat at ultrices volutpat. Curabitur feugiat mi est. Suspendisse pharetra sapien lorem, in facilisis nulla vehicula at. Vivamus ultricies id urna non accumsan. Ut nunc mauris, scelerisque ut hendrerit aliquam, tempor eget lacus. Cras ac congue elit, ut tempor dui."	9262	$0.96	$1.34
GRMZM0000084	thingamajig	"Phasellus vel nisl tellus. Vestibulum gravida ac eros dignissim ultrices. Morbi ac blandit erat. Sed varius gravida ante sed vehicula. Morbi ut molestie justo. Integer ultrices, libero et varius malesuada, massa risus adipiscing tortor, at gravida dui sapien ut ante. Fusce scelerisque tempor arcu vitae consequat. Praesent pharetra tellus ut ipsum porta, id semper est bibendum. Duis lacus risus, ullamcorper sed turpis sed, aliquam porta nisi. Donec vitae pulvinar velit, sit amet tincidunt risus. In a sagittis ante. Mauris vulputate mi et metus porttitor, et ultrices est venenatis. Sed massa nibh, aliquam vel tortor non, interdum sagittis enim."	9356	$0.25	$0.35
GRMZM0000085	thingamajig	"Integer eleifend hendrerit sagittis. Aenean eu sapien sed turpis tincidunt scelerisque eu sed dui. Aenean tincidunt ut sem vitae lacinia. Sed sed lacinia ante, id dignissim ligula. Nam blandit metus non molestie malesuada. Sed vel lobortis purus. Aenean tristique dignissim nulla ullamcorper facilisis."	8713	$0.90	$1.27
GRMZM0000086	thingamajig	"Phasellus quis aliquam mi. Praesent at sapien interdum, fermentum lectus consequat, vulputate enim. Nunc sit amet blandit neque. Quisque volutpat nulla eu augue dapibus, et varius sem tincidunt. Cras sagittis dolor sed risus fringilla, non pulvinar nunc bibendum. Praesent ut iaculis ligula, ut rutrum ligula. Vivamus quis porta lacus."	7440	$0.53	$0.75
GRMZM0000087	thingamajig	"Nullam a rutrum nulla. In ultricies eleifend sem, et pellentesque metus tincidunt eu. Fusce urna odio, aliquam sed massa sit amet, sollicitudin accumsan mi. Praesent commodo justo est, sit amet adipiscing nisi volutpat non. Curabitur in odio in tellus fringilla varius a eget ipsum. Vestibulum gravida ante non metus convallis congue. In ac magna a neque suscipit varius eget at ligula. Curabitur sit amet suscipit massa. Vestibulum et gravida quam. Fusce hendrerit nisi ut ornare sollicitudin. Sed urna leo, imperdiet id vehicula quis, imperdiet eget urna. Pellentesque eleifend iaculis posuere."	2990	$0.46	$0.64
GRMZM0000088	thingamajig	"Fusce consectetur molestie eleifend. Donec ac leo eu justo iaculis pharetra in eget dui. Aenean sit amet justo ut lorem suscipit ultricies. Donec sed pretium urna. Donec posuere, augue a tristique convallis, lectus erat aliquam ante, facilisis sollicitudin mauris risus nec nunc. Etiam quam nisl, consectetur eu rutrum ornare, hendrerit in est. Integer quis lacus vel turpis aliquam ornare non eu metus. Pellentesque sit amet ipsum libero. Duis ut neque sit amet dolor consequat tempor at eget leo. Aenean a felis iaculis lorem volutpat imperdiet at vitae mi. Donec eget felis sit amet nunc elementum mattis at sed urna. Curabitur ac sem dictum, ultrices diam non, pharetra ante. Nunc luctus mi quis dolor faucibus, et venenatis dolor bibendum."	2855	$0.27	$0.38
